Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s),source,image
17,Look at Figure 12: Which interval notation represents this number line?,"[0, 4]","(0, 4)","[0, 4)","(0, 4]",45,3,blooket:68f84a1540ca0ac2393b4936:q17,q17.png
18,"Which inequality represents the union (-∞, -1) ∪ (2, ∞)?",x < -1 or x > 2,x ≤ -1 or x ≥ 2,x < -1 and x > 2,-1 < x < 2,45,1,blooket:68f84a1540ca0ac2393b4936:q18,
19,Look at Figure 13: What type of interval is shown?,Single interval,Union of two intervals,Intersection of two intervals,Empty set,45,2,blooket:68f84a1540ca0ac2393b4936:q19,q19.png
20,Which interval notation means all real numbers except between -3 and 3 (exclusive)?,"(-∞, -3) ∪ (3, ∞)","(-∞, -3] ∪ [3, ∞)","[-3, 3]","(-3, 3)",45,1,blooket:68f84a1540ca0ac2393b4936:q20,
21,Look at Figure 14: Which inequality best describes this number line?,3 < x ≤ 6,3 ≤ x < 6,3 < x < 6,3 ≤ x ≤ 6,45,1,blooket:68f84a1540ca0ac2393b4936:q21,q21.png
22,Which number line representation would show x ≥ -5?,w37xkqns3quxuqryk3ii`~`https://media.blooket.com/image/upload/v1761202102/w37xkqns3quxuqryk3ii.png,dwnbbrvo9i2x4mk1njtv`~`https://media.blooket.com/image/upload/v1761202102/dwnbbrvo9i2x4mk1njtv.png,mlwhmn4ehvg7v2ha9dvk`~`https://media.blooket.com/image/upload/v1761202102/mlwhmn4ehvg7v2ha9dvk.png,urb6uebdjj4qh7bkpzvu`~`https://media.blooket.com/image/upload/v1761202102/urb6uebdjj4qh7bkpzvu.png,45,1,blooket:68f84a1540ca0ac2393b4936:q22,
23,Look at Figure 15: Which set notation represents this number line?,{x | -4 < x < -1},{x | -4 ≤ x ≤ -1},{x | -4 < x ≤ -1},{x | -4 ≤ x < -1},45,4,blooket:68f84a1540ca0ac2393b4936:q23,q23.png
24,Which interval represents all real numbers?,"(-∞, ∞)","[-∞, ∞]","(0, ∞)","(-∞, 0)",45,1,blooket:68f84a1540ca0ac2393b4936:q24,
25,Look at Figure 16: What is the correct English description?,All numbers from 2 to 5 including 2 but not 5,All numbers from 2 to 5 including both,All numbers from 2 to 5 including 5 but not 2,All numbers from 2 to 5 excluding both,45,1,blooket:68f84a1540ca0ac2393b4936:q25,q25.png
26,Which symbol is always used with infinity in interval notation?,Parenthesis ( ),Bracket [ ],Either parenthesis or bracket,Square bracket only,45,1,blooket:68f84a1540ca0ac2393b4936:q26,
27,Look at Figure 17: Which compound inequality represents this graph?,x < 0 or x ≥ 4,x ≤ 0 or x > 4,x < 0 and x ≥ 4,0 < x < 4,45,1,blooket:68f84a1540ca0ac2393b4936:q27,q27.png
28,What does an open circle on a number line indicate?,The endpoint is not included,The endpoint is included,The interval continues forever,The interval stops at that point,45,1,blooket:68f84a1540ca0ac2393b4936:q28,
29,Look at Figure 18: Which interval notation is correct?,"[-2, 3)","(-2, 3]","[-2, 3]","(-2, 3)",45,1,blooket:68f84a1540ca0ac2393b4936:q29,q29.png
30,"Which inequality represents [1, ∞)?",x ≥ 1,x > 1,x ≤ 1,x < 1,45,1,blooket:68f84a1540ca0ac2393b4936:q30,
31,Look at Figure 19: What type of endpoint is at x = -3?,Open circle,Closed circle,Arrow,No endpoint shown,45,2,blooket:68f84a1540ca0ac2393b4936:q31,q31.png
32,Which interval notation represents x ≠ 2?,"(-∞, 2) ∪ (2, ∞)","(-∞, 2] ∪ [2, ∞)","(-∞, ∞)","(2, 2)",45,1,blooket:68f84a1540ca0ac2393b4936:q32,
33,Look at Figure 20: Which inequality matches this union?,x ≤ -2 or x > 5,x < -2 or x ≥ 5,x ≤ -2 and x > 5,-2 ≤ x ≤ 5,45,1,blooket:68f84a1540ca0ac2393b4936:q33,q33.png
34,What does the union symbol ∪ mean in interval notation?,Or,And,Not,Equals,45,1,blooket:68f84a1540ca0ac2393b4936:q34,
35,Look at Figure 21: Which interval best describes this bounded region?,"(1, 3]","[1, 3)","[1, 3]","(1, 3)",45,2,blooket:68f84a1540ca0ac2393b4936:q35,q35.png
36,Which type of bracket is used when x = a is included in the interval?,Square bracket [,Parenthesis (,Curly brace {,Angle bracket <,45,1,blooket:68f84a1540ca0ac2393b4936:q36,
37,Look at Figure 22: Is this interval bounded or unbounded?,Bounded,Unbounded,Semi-bounded,Cannot determine,45,1,blooket:68f84a1540ca0ac2393b4936:q37,q37.png
38,Which interval notation represents -5 < x ≤ 0?,"(-5, 0]","[-5, 0)","(-5, 0)","[-5, 0]",45,1,blooket:68f84a1540ca0ac2393b4936:q38,
39,Look at Figure 23: How many separate intervals are shown?,1,2,3,0,45,2,blooket:68f84a1540ca0ac2393b4936:q39,q39.png
40,What is the correct way to write x is between -1 and 4 inclusive in interval notation?,"[-1, 4]","(-1, 4)","[-1, 4)","(-1, 4]",45,1,blooket:68f84a1540ca0ac2393b4936:q40,
